Dataset of plasma-derived EV proteomics using the MagNet protocol - 4380 identified proteins over 117 (healthy subjects) samples of a yet unpublished randomized crossover study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HR01_S1-A1_1_7553;HR01_S1-A2_1_7610;HR01_S1-A3_1_7644;HR01_S1-A4_1_7605;HR01_S1-A5_1_7635;HR01_S1-A6_1_7541;HR02_S1-A7_1_7559;HR02_S1-A8_1_7623;HR02_S1-A9_1_7539;HR02_S1-A10_1_7531;HR02_S1-A11_1_7593;HR02_S1-A12_1_7650;HR03_S1-B1_1_7620;HR03_S1-B2_1_7627;HR03_S1-B3_1_7583;HR03_S1-B4_1_7548;HR03_S1-B5_1_7542;HR03_S1-B6_1_7614;HR04_S1-B12_1_7641;HR04_S1-C1_1_7560;HR04_S1-C2_1_7576;HR04_S1-C3_1_7587;HR04_S1-C4_1_7615;HR04_S1-C5_1_7599;HR06_S1-B7_1_7622;HR06_S1-B8_1_7600;HR06_S1-B9_1_7580;HR06_S1-B10_1_7566;HR06_S1-B11_1_7649;HR07_S1-C6_1_7645;HR07_S1-C7_1_7634;HR07_S1-C8_1_7574;HR07_S1-C9_1_7604;HR07_S1-C10_1_7628;HR07_S1-C11_1_7589;HR08_S1-C12_1_7651;HR08_S1-D1_1_7537;HR08_S1-D2_1_7550;HR08_S1-D3_1_7579;HR08_S1-D4_1_7552;HR09_S1-D5_1_7643;HR09_S1-D6_1_7636;HR09_S1-D7_1_7556;HR09_S1-D8_1_7558;HR09_S1-D9_1_7572;HR09_S1-D10_1_7544;HR11_S1-D11_1_7535;HR11_S1-D12_1_7638;HR11_S1-E1_1_7592;HR11_S1-E2_1_7646;HR11_S1-E3_1_7631;HR11_S1-E4_1_7601;HR12_S1-G11_1_7625;HR12_S1-G12_1_7607;HR12_S1-H1_1_7575;HR12_S1-H2_1_7570;HR12_S1-H3_1_7613;HR12_S1-H4_1_7591;HR14_S1-E5_1_7578;HR14_S1-E6_1_7571;HR14_S1-E7_1_7633;HR14_S1-E8_1_7567;HR14_S1-E9_1_7598;HR14_S1-E10_1_7562;HR15_S1-E11_1_7527;HR15_S1-E12_1_7609;HR15_S1-F1_1_7569;HR15_S1-F2_1_7557;HR15_S1-F3_1_7529;HR15_S1-F4_1_7547;HR16_S2-A5_1_7632;HR16_S2-A6_1_7612;HR16_S2-A8_1_7573;HR16_S2-A9_1_7597;HR16_S2-A10_1_7526;HR18_S1-G5_1_7536;HR18_S1-G6_1_7530;HR18_S1-G7_1_7647;HR18_S1-G8_1_7595;HR18_S1-G9_1_7543;HR18_S1-G10_1_7565;HR20_S1-F5_1_7563;HR20_S1-F6_1_7596;HR20_S1-F7_1_7621;HR20_S1-F8_1_7582;HR20_S1-F9_1_7639;HR20_S1-F10_1_7630;HR21_S1-H5_1_7533;HR21_S1-H6_1_7624;HR21_S1-H7_1_7546;HR21_S1-H8_1_7554;HR21_S1-H9_1_7594;HR21_S1-H10_1_7534;HR22_S2-A11_1_7602;HR22_S2-A12_1_7640;HR22_S2-B1_1_7545;HR22_S2-B2_1_7637;HR22_S2-B3_1_7528;HR22_S2-B4_1_7540;HR23_S1-F11_1_7618;HR23_S1-F12_1_7588;HR23_S1-G1_1_7586;HR23_S1-G2_1_7608;HR23_S1-G3_1_7626;HR23_S1-G4_1_7532;HR24_S1-H11_1_7561;HR24_S1-H12_1_7584;HR24_S2-A1_1_7585;HR24_S2-A2_1_7648;HR24_S2-A3_1_7619;HR24_S2-A4_1_7611;HR26_S2-B5_1_7568;HR26_S2-B6_1_7555;HR26_S2-B7_1_7606;HR26_S2-B8_1_7549;HR26_S2-B9_1_7581;HR26_S2-B10_1_7617;Genes;First.Protein.Description;Protein.Group
11,9431;12,498;12,0985;12,377;12,518;12,0357;11,9758;11,0019;11,536;11,8801;11,5114;12,3283;12,355;12,3114;12,3935;11,8623;11,984;12,3484;12,3081;11,1202;12,3236;12,319;12,5031;12,4092;11,9609;12,3206;12,1265;12,0845;12,2621;12,3532;11,9076;11,8472;12,3092;11,8266;12,4343;12,2973;11,27;12,1149;11,3856;10,7324;12,2933;12,0704;12,0581;11,7121;11,4551;11,8115;12,0514;NaN;12,4601;12,3162;12,3903;12,3415;12,4028;12,4676;12,1734;11,1852;12,2388;12,1937;12,2706;12,1003;12,4882;12,0449;12,5577;12,6246;NaN;NaN;NaN;12,3528;12,4465;12,4206;12,4433;12,3508;12,2128;12,1097;11,9691;11,1009;12,015;12,0698;12,1185;11,5508;11,8525;11,9314;12,2391;12,295;12,132;12,3907;12,4345;12,3984;11,9726;12,1916;12,2161;12,4564;12,301;12,1349;12,1962;11,5723;12,3256;12,2762;12,1851;12,0129;11,4337;12,1429;11,7361;11,817;10,3499;10,7927;12,0102;12,5801;12,255;11,819;12,116;11,9638;11,5624;11,8937;11,5333;11,1593;12,4558;EIF3F;Eukaryotic translation initiation factor 3 subunit F;O00303
12,1703;11,8549;11,8737;11,8549;11,8486;11,6531;11,6679;11,9915;11,1969;11,9896;12,0897;12,3427;12,1982;11,2061;11,801;11,7248;11,7385;12,2035;12,0927;11,7288;11,8681;11,9156;12,1134;11,9689;11,6828;12,2931;11,483;11,2511;11,432;11,9068;11,7421;NaN;11,8173;11,6915;11,6709;12,2343;12,0197;12,4333;11,5293;12,1318;12,3008;12,0323;11,6677;11,5744;11,5269;11,874;11,7564;NaN;12,3015;11,6687;11,8959;12,2386;11,9681;12,2535;12,1553;11,491;12,3081;12,314;11,9272;11,7056;11,9758;11,6829;11,9108;11,2485;NaN;NaN;NaN;11,99;11,9564;11,7297;12,1033;12,1283;12,1411;12,0506;11,7736;10,6937;12,1278;12,488;12,0764;11,3546;11,7119;11,7524;12,22;11,9967;12,1174;12,0155;11,7702;11,927;11,9141;11,7238;12,1228;NaN;11,5152;11,9146;12,0267;11,6073;11,9053;11,8234;11,747;11,418;11,4623;11,7005;11,9223;11,2245;10,8854;11,9184;12,3756;12,3002;12,2129;11,8166;12,4245;11,7179;11,3813;12,0447;11,5963;11,8736;12,0858;PDHX;Pyruvate dehydrogenase protein X component, mitochondrial;"O00330;O00330-3"
14,323;14,1645;14,5071;14,2687;14,1049;14,3471;14,4111;14,0617;14,3815;14,7226;14,3499;14,6632;14,5338;14,3504;15,1194;14,2639;14,237;14,6366;14,5339;14,34;14,583;14,8458;14,5573;14,9275;14,8792;14,7595;14,7929;14,7029;14,7775;14,8198;14,578;14,5451;14,8353;14,6199;14,8333;14,4874;13,9142;14,4368;13,8136;14,1146;14,6685;14,6003;15,1811;14,5347;14,502;15,0619;14,9061;15,0251;14,6439;14,688;14,4948;14,7434;14,5134;14,3056;14,3027;13,7508;14,5882;14,2515;14,3192;14,2941;14,3931;14,0673;14,5096;14,6908;14,9491;15,0989;15,0917;14,874;14,4958;14,8714;14,57;14,4934;14,449;14,4617;14,3333;13,7187;14,6254;14,0474;14,3683;14,1411;14,1283;14,4418;14,5255;14,4415;14,5169;14,4009;14,7386;14,4341;14,5395;14,5174;14,6186;14,243;14,7539;14,6534;14,6588;14,215;14,3268;14,1528;14,1912;14,239;13,8453;14,0725;14,0924;13,936;13,9351;13,9249;14,205;14,3449;14,6005;14,445;14,8375;14,3228;13,9973;14,1059;14,0313;13,7138;14,3156;QSOX1;Sulfhydryl oxidase 1;O00391
12,3254;12,4527;12,2276;12,328;12,3602;12,1788;12,2935;12,1271;12,0925;12,425;12,3007;12,3442;12,2978;12,1376;11,9718;12,2978;12,4084;12,0718;12,3806;12,2213;12,07;12,3692;12,3301;12,0814;11,9138;12,3138;11,7153;11,7483;12,0697;12,4865;12,5613;12,5356;12,2153;12,5277;12,1085;12,3951;12,5817;12,5848;12,5251;12,6222;12,1973;12,1364;11,9536;12,3814;12,1875;12,5657;12,4641;NaN;12,2808;12,1826;12,2533;11,7562;12,0611;12,2133;12,5034;12,3325;12,6346;12,5026;12,4538;12,4784;12,4632;12,3426;12,488;12,3454;NaN;NaN;NaN;12,1683;12,4441;12,2018;12,552;12,277;12,2732;12,2248;12,3751;12,1528;12,3463;12,4559;12,5221;12,6363;12,3754;12,4396;12,5154;12,2698;12,3055;12,2877;12,4419;12,5116;12,4961;12,499;12,4576;12,5603;12,2819;12,3663;12,5339;12,4325;12,3677;12,4004;12,5077;12,5298;12,4503;12,639;12,4327;12,3393;12,5204;12,334;12,4083;12,4953;12,3887;12,2306;12,1315;12,4345;12,4235;12,4334;12,1667;12,3818;12,5211;DCTN6;Dynactin subunit 6;O00399
11,2748;11,2282;10,8356;11,1684;10,9035;11,1551;11,2181;11,2906;10,9998;10,7605;11,0195;10,9612;10,8048;11,1144;10,3111;11,1309;10,7008;10,8974;10,9054;11,2925;10,7969;10,5715;10,4064;10,7671;10,5445;10,6646;10,7937;10,202;11,0465;10,729;11,1632;11,1356;10,8091;11,1042;10,431;11,2412;11,2567;11,4971;11,3377;10,982;10,7651;10,6509;NaN;10,8481;11,0983;11,109;10,6812;NaN;10,7748;10,8475;10,6995;9,7479;10,6803;10,6545;10,939;11,1122;10,7809;10,9975;10,7838;10,7895;10,4635;10,6203;10,7885;11,0093;NaN;NaN;NaN;10,7625;10,534;10,8886;11,0308;10,9385;11,1278;10,9141;11,065;11,1838;11,1113;11,1714;11,2896;11,0027;11,3244;11,1199;11,2022;11,1501;11,3794;11,1076;11,2446;11,0527;10,8343;11,1425;10,8977;10,6815;10,6812;10,626;10,8392;10,8738;11,1617;10,9524;10,9132;11,3106;11,3844;11,2886;11,391;11,2458;11,4186;11,0808;11,293;10,9221;10,7255;10,8847;11,1811;10,9169;11,3059;11,3815;11,1911;11,4765;10,9996;SLC33A1;Acetyl-coenzyme A transporter 1;O00400
10,507;10,4317;10,4025;10,1905;10,4157;10,2419;10,4789;10,2562;10,4066;10,3558;10,1423;10,0075;10,9677;11,0569;11,1339;11,2732;11,1012;10,7006;11,0071;10,9285;11,0351;10,744;10,704;10,6012;10,5083;10,8962;10,6513;10,8443;10,546;10,3405;10,6914;10,6765;10,7217;10,6507;10,3001;10,7383;11,1375;11,0173;11,1824;11,1634;10,4145;10,9172;10,0174;10,5616;10,5807;10,7262;10,316;NaN;10,5049;10,5157;10,6603;9,80521;10,7592;11,0641;11,3697;11,2344;10,5542;10,9925;11,0625;11,3784;11,428;11,5041;11,4192;11,2837;NaN;NaN;NaN;11,711;11,574;11,5909;10,6507;10,7133;10,7093;10,8524;10,8613;10,9803;11,1321;11,2248;11,051;11,1445;11,0456;10,796;10,5004;10,8603;11,0207;11,1763;10,7805;10,3033;10,856;10,5895;10,1896;10,8319;10,5032;10,2419;10,1883;10,5714;10,0836;10,2997;10,3414;10,5168;10,6352;10,5571;11,0582;10,5478;11,1442;10,6823;10,7162;10,9288;10,6174;10,7664;10,7947;11,3639;10,9429;11,3652;11,4479;11,5631;11,3158;PDE2A;Isoform PDE2A1 of cGMP-dependent 3',5'-cyclic phosphodiesterase;O00408-2
13,9827;13,9235;13,8057;13,9401;14,0018;13,9285;13,994;14,0268;13,7872;13,9146;13,8898;13,9467;13,69;13,7324;13,6066;13,8714;13,7742;13,7216;13,7266;14,0073;13,9104;13,7946;13,7242;13,7948;13,5163;13,7441;13,5974;13,5069;13,4766;13,8262;13,786;13,8914;13,7235;13,7565;13,7034;13,7447;13,9349;14,1211;13,9313;13,9564;13,8173;13,9335;13,5141;13,7847;13,8258;13,8494;13,6806;11,8023;13,7818;13,6143;13,7022;13,7733;13,7106;14,0248;13,9278;13,8619;13,7028;13,8676;13,8043;13,9098;13,8394;13,9448;13,9223;13,8619;NaN;NaN;NaN;13,7049;13,8302;13,8046;13,7846;13,7642;13,795;13,8366;13,8591;13,8715;13,7874;13,7619;13,7754;13,8336;13,8643;13,8181;13,964;13,933;13,8708;13,783;13,8576;13,8887;13,8463;13,8712;13,9294;13,9288;13,6643;13,8832;13,9597;14,0273;14,0999;14,2053;14,1982;13,9285;14,0367;13,9888;13,9376;13,8767;14,0131;13,8992;14,1044;13,899;13,8492;13,8091;13,8915;13,7135;13,8906;13,7889;13,8201;13,8099;13,7433;IPO5;Importin-5;"O00410;O00410-3"
13,3191;13,3899;13,2462;13,3536;13,3331;13,4924;13,6265;13,7187;12,7785;13,2208;13,5958;13,2533;13,2322;13,4227;NaN;NaN;12,5017;NaN;12,9305;13,2721;13,3368;12,5847;13,2804;13,397;13,022;13,3336;13,3793;13,4109;NaN;NaN;13,2715;13,0203;13,3652;13,3334;13,1217;13,2022;12,192;13,2188;12,9427;12,747;13,4679;13,3065;13,3757;13,0406;13,4113;13,3862;12,5832;NaN;13,3476;13,0368;13,5066;NaN;NaN;13,3836;13,1771;NaN;13,3225;13,3795;13,1515;NaN;NaN;NaN;13,3103;13,4094;NaN;NaN;NaN;12,4918;12,8094;NaN;12,7629;12,4396;13,2327;12,6954;11,8224;12,1858;13,4979;13,6342;13,3895;13,351;13,1182;11,8986;12,9668;13,4618;12,9784;13,6577;13,4083;12,9275;12,8147;12,7272;12,5921;13,2301;12,784;11,6847;11,2955;NaN;NaN;11,8051;NaN;13,4055;NaN;11,9263;12,4285;11,8999;NaN;11,5439;13,4305;13,1447;13,1979;13,0274;13,2522;NaN;11,3358;11,9829;11,4389;11,991;11,3552;IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3;O00425
15,7168;15,8442;15,7751;15,7658;15,834;15,8416;15,3119;15,1828;15,1234;15,4299;15,2274;15,231;15,253;15,343;15,051;15,2793;15,2598;15,1455;15,7426;15,6493;15,8361;15,6698;15,7706;15,6237;15,3685;15,5076;15,3654;15,5052;15,2936;15,5102;15,6179;15,4609;15,4155;15,5586;15,3909;15,3224;15,4671;15,4549;15,3551;15,4798;15,3947;15,4788;15,0973;15,3934;15,4265;15,3759;15,3506;11,6065;15,3864;15,1157;15,3862;15,2877;15,4338;15,5601;15,6151;15,3865;15,499;15,5584;15,6806;15,6178;15,6675;15,5898;15,6852;15,5603;NaN;NaN;NaN;15,3148;15,4475;15,3018;15,6098;15,5662;15,4325;15,6021;15,464;15,3397;15,4159;15,6486;15,6556;15,5749;15,6748;15,3091;15,4267;15,5215;15,4741;15,3874;15,3924;15,6374;15,4919;15,6682;15,5261;15,6482;15,5868;15,6448;15,6755;15,7389;15,638;15,7678;15,7627;15,6236;15,3956;15,5694;15,4195;15,38;15,3224;15,486;15,4275;15,5626;15,5583;15,4783;15,554;15,286;15,2916;15,4251;15,2374;15,2827;15,4239;DNM1L;Isoform 4 of Dynamin-1-like protein;O00429-2
11,9006;11,4292;11,5876;11,2545;11,3254;11,9768;11,7509;11,5117;11,7861;11,3405;11,1321;10,3779;10,408;10,7314;NaN;11,7781;11,4544;10,7996;11,3478;11,8063;11,2505;10,7205;11,5102;10,3375;10,0007;10,9687;10,2772;10,5627;9,83017;10,6427;11,3469;11,3367;10,8686;11,1505;10,5304;10,5397;11,586;11,431;11,6703;12,0716;10,688;11,1494;9,45505;11,6427;11,283;10,9866;11,3531;NaN;10,8354;10,6254;10,6817;10,3178;10,4895;10,5334;10,9656;11,9939;10,615;10,9803;11,3713;11,4107;10,9639;11,6544;10,1974;10,7843;NaN;NaN;NaN;10,8546;11,0708;9,97197;10,6268;10,9347;10,8592;10,4796;11,2118;12,6835;11,1152;11,2101;11,4391;12,0809;11,7727;11,2855;11,2399;10,8484;10,8742;10,6278;9,85433;11,2602;11,2066;11,2454;10,8902;11,0213;10,3231;10,7373;10,7595;11,0414;10,6264;11,2062;10,2546;11,1402;11,4338;10,5908;11,2548;11,7628;11,8601;11,837;11,297;10,3356;10,7438;11,5411;11,261;11,3433;12,0629;10,5962;11,7272;11,5022;10,6621;DNM1L;Isoform 7 of Dynamin-1-like protein;O00429-7
12,1457;12,1859;12,206;12,2049;12,0663;12,333;12,1877;12,0985;12,2756;12,0124;12,1706;11,5498;11,9409;12,0492;11,7183;11,8008;11,9532;11,8184;12,0917;12,3327;12,0991;11,7774;12,0732;11,7896;11,5528;11,8748;11,5054;11,7416;11,3483;11,9709;12,3982;12,326;12,2428;12,4941;11,7893;11,9962;12,3439;11,9043;12,3606;12,1769;12,0941;12,2733;11,9022;12,0593;12,1107;12,226;12,2402;NaN;11,971;11,8604;12,226;12,0392;11,8967;11,6025;11,7471;11,8634;11,766;12,0349;12,0413;12,1558;12,0407;12,0318;11,7981;11,7404;NaN;NaN;NaN;11,5452;11,9655;11,9776;11,869;12,132;12,1081;12,1266;12,0807;12,0098;11,5054;12,0404;12,1142;12,0171;12,041;11,9341;12,0217;11,8444;12,251;11,8961;11,9169;12,0213;12,244;11,9618;12,0613;12,0247;11,8786;11,8884;12,378;12,2281;12,0021;12,1166;12,2152;11,8028;11,8421;11,9953;12,0774;11,9168;12,0335;11,9841;12,1739;11,7813;11,8213;12,4016;12,0333;12,1966;12,208;12,3069;12,4004;12,4126;12,148;RTCA;RNA 3'-terminal phosphate cyclase;O00442
9,05976;NaN;NaN;7,68793;NaN;9,16782;NaN;9,0673;8,81616;9,14967;8,63909;NaN;NaN;NaN;NaN;8,28811;9,26332;NaN;NaN;8,3919;NaN;NaN;NaN;9,03549;NaN;NaN;NaN;NaN;NaN;NaN;9,0993;NaN;NaN;NaN;NaN;8,91899;NaN;8,64229;8,32084;9,33282;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8,41201;8,82891;NaN;6,99319;NaN;NaN;8,90826;NaN;8,62875;NaN;NaN;NaN;NaN;NaN;NaN;9,19089;NaN;9,09318;NaN;NaN;NaN;NaN;NaN;NaN;8,92128;9,40945;9,44942;9,04011;8,22008;NaN;7,71453;8,13019;8,52177;NaN;8,94266;NaN;9,17863;8,81985;8,55118;NaN;NaN;NaN;6,19171;NaN;NaN;8,65352;9,74917;10,0034;9,28894;NaN;8,61494;NaN;9,04147;8,49998;8,68761;8,7535;8,5701;NaN;NaN;NaN;NaN;NaN;NaN;8,55584;PIK3C2A;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha;O00443
12,0446;11,9725;11,9972;12,0023;12,0583;12,0802;11,7824;11,7462;11,6541;12,1383;11,8519;11,9766;12,0161;11,9547;12,1126;11,9196;12,2813;12,099;11,873;11,9324;11,9344;12,215;12,1461;12,1983;12,2323;12,0163;12,2041;12,2625;12,1308;12,0583;11,9895;11,9816;12,0597;12,0564;12,2925;12,2773;12,168;12,2895;12,0458;11,7689;12,0081;12,2081;12,2448;12,2931;12,1214;12,2412;12,2717;12,2096;12,3395;12,2597;12,1077;12,0094;12,1456;12,2046;12,1823;11,6918;12,1419;12,332;11,8658;11,9383;11,9957;12,0762;11,9846;12,2456;13,0855;13,049;12,9184;12,6717;12,4767;12,6444;12,0257;12,2144;12,2052;12,3647;12,2787;11,982;12,5352;12,1635;12,2021;12,3235;12,3236;12,3075;12,2167;12,2701;12,2413;12,3051;12,2946;12,0216;12,0321;12,0541;12,1905;12,1074;12,0226;12,2674;12,1768;11,9551;12,1652;12,2645;12,3837;12,2065;12,1618;12,1122;12,0373;12,1116;11,9259;12,0503;11,7646;12,0547;11,8429;11,9311;12,1397;12,4695;11,9136;12,1715;12,0749;12,2295;12,039;GOLIM4;Golgi integral membrane protein 4;O00461
9,31153;8,82241;8,81078;NaN;8,62632;NaN;9,26122;9,48001;9,6146;8,67798;8,95073;NaN;8,93205;9,33782;8,81124;9,54292;9,78135;NaN;9,08627;9,09581;NaN;NaN;9,12238;9,30705;NaN;NaN;9,47234;NaN;NaN;9,38669;NaN;NaN;NaN;NaN;7,78969;NaN;NaN;NaN;9,02934;NaN;8,83573;NaN;NaN;NaN;9,05276;9,86658;8,2015;NaN;8,22005;NaN;10,0282;NaN;NaN;NaN;NaN;9,42193;8,82251;9,20133;9,34504;NaN;8,64493;9,57924;NaN;NaN;NaN;NaN;NaN;9,04981;9,83564;NaN;NaN;9,51371;8,81019;7,77222;NaN;9,29805;9,29284;9,05873;9,46889;8,69654;9,18482;9,42128;NaN;9,69474;8,2302;NaN;9,06814;8,44053;9,53009;9,43833;9,28389;9,31643;9,42429;NaN;8,80678;NaN;NaN;9,36738;9,35861;9,24644;NaN;8,32879;8,72281;NaN;9,32176;NaN;9,51138;9,15885;8,8477;9,73982;9,17771;9,04176;9,2025;9,25861;9,1313;9,62767;9,53195;MANBA;Beta-mannosidase;O00462
11,1297;11,0958;10,9949;11,0753;11,0369;11,0191;10,4751;10,1975;10,6315;10,6991;10,3566;10,8512;10,7442;10,8693;11,208;10,7325;11,0999;11,2747;10,6682;10,4418;11,1426;10,9341;11,2467;11,1144;11,3413;11,488;11,7207;11,3841;11,6176;11,1176;10,9686;10,8819;10,963;11,2085;11,1812;11,2098;10,7854;10,7797;10,3813;9,96808;11,1151;10,8093;11,0863;10,6663;10,8031;10,8767;11,5047;12,2908;11,2793;11,5793;11,5676;11,1983;10,6798;10,7103;10,8175;10,4894;11,2991;10,6462;10,6041;10,7679;10,5448;10,6139;10,4568;10,6465;12,6694;13,0138;12,4809;11,7946;11,8484;12,0929;10,9533;11,3433;10,9284;11,1854;10,8734;10,0526;11,5226;10,3444;10,6184;10,6992;10,3067;11,1732;11,1719;11,4978;11,2899;11,5385;11,7007;10,904;10,3477;10,95;11,3852;11,1552;11,5116;11,0076;10,7085;10,5561;10,8563;11,1203;10,587;10,7173;10,7004;10,3889;10,3941;10,1899;10,2166;10,6315;10,5955;10,6219;10,9687;10,3482;11,0483;11,2621;9,99218;11,5948;11,0557;11,197;11,356;AGRN;Isoform 6 of Agrin;"O00468-6;O00468-7"
11,1587;11,447;11,0355;11,4386;11,6182;11,2324;11,0977;11,281;11,1194;11,4108;11,4842;11,0806;10,6173;11,3643;10,4424;11,0915;11,1077;NaN;11,3128;10,8274;11,374;10,2895;11,1627;11,5828;10,6832;10,3334;11,7492;10,5706;9,2303;11,0003;11,1917;11,1911;11,2583;11,2453;10,7288;11,1564;11,0687;11,5094;11,0715;11,2516;11,5522;11,6252;10,732;11,3509;11,4743;11,2362;11,3588;NaN;11,0706;10,6293;11,3167;11,037;10,8024;10,7898;11,2035;10,6447;11,116;11,1357;10,6446;11,1618;10,7288;11,0163;11,6103;11,099;NaN;NaN;NaN;11,0753;10,7125;10,4997;NaN;10,8438;10,8102;11,2768;11,3228;10,8482;10,6774;11,3003;11,2633;11,132;11,2018;11,4302;11,4095;11,2792;11,4145;11,312;11,0592;11,3549;11,0379;11,054;11,1664;11,4138;11,4257;11,3095;11,2549;11,5632;11,4864;11,4202;11,6064;11,1239;10,8309;10,867;11,2731;10,6205;10,9851;11,1673;10,9345;11,0752;10,7862;10,8837;10,9616;11,7563;11,5909;11,7609;11,8089;11,474;11,7671;PLOD2;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2;"O00469;O00469-2"
10,8194;11,3744;11,3013;11,0984;11,204;11,3897;11,2671;11,0857;11,1966;11,4626;11,2627;11,1493;11,3492;11,4763;11,2524;11,0603;11,2125;11,2334;10,9314;10,9345;11,0162;11,3839;11,0396;10,9542;11,0966;11,39;11,2837;11,1452;11,1228;11,2301;11,2127;11,3312;11,2449;11,1784;11,5235;11,0495;11,3963;11,6894;11,3426;11,1558;11,3052;11,2835;11,1745;11,2841;11,1968;11,3632;11,4428;NaN;11,475;11,1868;11,5701;11,5246;11,2963;11,4719;11,4079;11,2088;11,2667;11,6408;11,5861;11,2364;11,2859;11,2428;11,1831;11,1032;NaN;NaN;NaN;11,6326;11,5122;11,2021;11,2905;11,4917;11,638;11,0723;11,3272;10,9797;11,6283;11,6526;11,6696;11,3868;11,6951;10,9954;10,9818;11,3275;11,1831;11,1113;11,0428;11,5131;11,652;11,178;11,2873;11,2696;11,3941;11,2582;11,3034;11,1972;11,0789;11,2298;11,3987;11,3102;11,4912;11,1787;11,2996;11,0059;10,9761;11,1411;11,4714;11,3945;11,5077;11,5211;11,4872;11,7425;11,1162;11,4672;11,4615;11,3997;11,6578;EXOC5;Exocyst complex component 5;O00471
10,8984;10,6766;10,6314;10,5995;10,8176;10,6789;10,8963;10,6859;10,7354;10,4405;10,96;10,6274;10,4893;10,4783;9,99441;10,6302;10,8107;9,91663;10,6051;10,274;10,0467;10,1701;10,3513;10,4665;10,0333;10,7907;10,0002;10,1019;9,79338;11,0305;10,9527;11,3696;10,9406;10,9766;10,3415;10,3905;10,6984;10,8454;10,6141;10,9817;10,6826;11,0664;NaN;10,8672;10,8799;10,9137;10,9276;NaN;10,408;10,4862;10,4843;10,4503;10,4874;10,1546;10,6781;10,6563;10,7412;10,766;10,5045;10,8422;10,85;10,8039;10,5135;10,4561;NaN;NaN;NaN;10,5924;10,9486;10,6506;10,5646;10,6167;10,8796;10,5948;10,5866;10,8961;10,737;10,549;10,6358;10,7969;10,6705;10,4458;10,5661;10,398;10,63;10,6384;10,5734;10,6186;10,6866;10,2908;10,6809;10,5924;10,1599;11,2625;10,9471;11,021;10,8852;11,0328;10,8166;10,8174;11,1824;11,0893;11,124;11,4474;11,1266;10,7983;10,6513;10,4252;10,369;10,8374;10,457;11,1866;11,1863;11,1871;11,2477;11,3654;10,8727;BTN3A1;Butyrophilin subfamily 3 member A1;O00481
14,0105;13,9124;13,7224;13,7877;14,2279;13,4026;13,4676;14,0899;13,0948;13,968;13,6903;14,6257;14,6404;14,265;14,306;13,5177;14,0767;14,3187;14,4082;13,5008;14,2341;14,127;14,3695;14,3808;14,8247;14,0624;14,5439;14,6072;14,9425;13,8854;13,674;13,7292;14,3177;14,1024;14,6637;14,837;13,6135;14,2404;13,7459;13,7961;14,5855;14,5092;14,6847;13,9828;14,0936;14,2206;14,1816;NaN;14,3492;14,7828;14,4861;14,6801;14,3897;14,6221;13,8509;13,3928;14,3463;13,6443;14,0496;13,7136;14,3782;13,8176;14,5523;14,3686;NaN;NaN;NaN;13,9589;14,4418;14,3647;14,1352;14,3152;14,2078;14,3381;14,1123;12,3509;14,4306;13,8217;14,2352;13,6202;13,8841;13,2466;13,8603;13,7839;13,5706;13,9512;14,4603;13,5829;14,1182;13,5332;14,2276;13,975;14,0605;14,3246;14,2309;14,0377;14,3417;14,2465;14,2391;13,9094;13,8446;13,7886;13,6685;13,9417;13,3233;13,3155;13,8366;14,0964;14,4405;14,0553;14,2026;14,6971;14,1601;14,8109;14,1015;14,1962;14,9272;NDUFA4;Cytochrome c oxidase subunit NDUFA4;O00483
